,min,max,avg,5th_pctile,95th_pctile,sd
Total,377,2049,1240.5,503.25,1873.0,425.96602629265584
Kiosk,0,90,28.608695652173914,0.0,87.0,35.37888777905676
Chef,183,409,300.7608695652174,191.0,401.0,69.50401580168146
Utensil,0,31,9.152173913043478,0.0,26.0,10.639480754465309
Pop,0,31,9.152173913043478,0.0,26.0,10.639480754465309
