,Total_wait_time,Kiosk_wait_times,Chef_wait_times,Utensil_dispenser_wait_times,Pop_machine_wait_times
0,377,0,212,26,26
1,474,0,371,0,0
2,470,0,292,0,0
3,591,35,254,0,0
4,659,87,200,0,0
5,742,84,317,20,20
6,777,0,385,0,0
7,638,56,196,0,0
8,850,74,272,3,3
9,871,0,409,0,0
10,990,0,385,0,0
11,982,54,220,22,22
12,963,0,194,23,23
13,934,0,234,4,4
14,1126,83,297,0,0
15,1024,33,323,0,0
16,1138,90,265,9,9
17,1131,0,394,25,25
18,1023,0,276,5,5
19,976,0,183,26,26
20,1172,48,331,4,4
21,1163,66,230,5,5
22,1251,69,303,27,27
23,1278,0,343,8,8
24,1335,44,398,25,25
25,1439,0,323,0,0
26,1385,0,347,14,14
27,1322,0,189,24,24
28,1395,0,334,16,16
29,1502,88,379,31,31
30,1467,87,229,0,0
31,1590,0,381,0,0
32,1556,86,289,19,19
33,1521,0,190,1,1
34,1524,35,283,21,21
35,1726,67,354,0,0
36,1669,0,402,0,0
37,1682,0,298,0,0
38,1559,0,210,0,0
39,1747,77,296,6,6
40,1721,0,331,21,21
41,1705,53,290,0,0
42,1695,0,288,0,0
43,1959,0,408,0,0
44,1915,0,384,13,13
45,2049,0,346,23,23
