,min,max,avg,5th_pctile,95th_pctile,sd
Total,272,663,456.8679245283019,321.4,592.0,89.75887308524241
Kiosk,0,87,30.39622641509434,0.0,79.19999999999999,31.446743516521774
Chef,187,419,302.1132075471698,190.8,403.2,73.28806713063565
Utensil,0,27,6.716981132075472,0.0,26.0,9.22867054032946
Pop,0,27,6.716981132075472,0.0,26.0,9.22867054032946
