,min,max,avg,5th_pctile,95th_pctile,sd
Total,293,2143,1156.6060606060605,429.25,1922.0,496.8311856552757
Kiosk,0,89,31.333333333333332,0.0,83.75,31.736576003253038
Chef,183,421,309.2121212121212,188.5,407.5,68.49829086054521
Utensil,0,30,6.075757575757576,0.0,26.75,9.668840684719145
Pop,0,30,6.075757575757576,0.0,26.75,9.668840684719145
